reactants,product
Clc1cncc2ccccc12.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)Nc1cncc2ccccc12
CC(=O)Nc1cccc(Cl)c1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(=O)Nc1cccc(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c1
COc1ccc(Cl)cc1C.CC(C)(N)CO[Si](C)(C)C(C)(C)C.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(NC(C)(C)CO[Si](C)(C)C(C)(C)C)cc1C
Brc1cnn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)CC(C)(C)Nc1cnn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c1
CC(C)(C)OC(=O)c1cccc(Br)c1.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)Nc1cccc(C(=O)OC(C)(C)C)c1
Clc1cccnc1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CC(C)(C)CC(C)(C)Nc1cccnc1
N#Cc1cccc(Br)c1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],N#Cc1cccc(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c1
CC(C)c1cc(C(C)C)c(Br)c(C(C)C)c1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],CC(C)c1cc(C(C)C)c(NC(C)(C)CC(C)(C)C)c(C(C)C)c1
Brc1ccccc1C1CCCCC1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],c1ccc(C2CCCCC2)c(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c1
CCCCN1c2ccc(Br)cc2C(=O)C2C=CC=CC21.NC(c1ccccc1)(c1ccccc1)c1ccccc1.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],CCCCN1c2ccc(NC(c3ccccc3)(c3ccccc3)c3ccccc3)cc2C(=O)C2C=CC=CC21
COc1ccc(Br)c(C)c1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],COc1ccc(NC23C[C@H]4C[C@@H](C2)C[C@@H](C3)C4)c(C)c1
Clc1ccc2ncccc2c1.NC(c1ccccc1)(c1ccccc1)c1ccccc1.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],c1ccc(C(Nc2ccc3ncccc3c2)(c2ccccc2)c2ccccc2)cc1
Clc1ccc2nsnc2c1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],c1cc2nsnc2cc1NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
Clc1ccc2ccccc2n1.CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],CC(C)(C)Nc1ccc2ccccc2n1
Cc1cscc1Br.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],Cc1cscc1NC(C)(C)CC(C)(C)C
COc1cccc(OC)c1Br.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],COc1cccc(OC)c1NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
Cc1nc(Br)ccc1F.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],Cc1nc(NC(C)(C)CC(C)(C)C)ccc1F
Clc1cnccn1.CC(C)(C)CC(C)(C)N.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],CC(C)(C)CC(C)(C)Nc1cnccn1
O=C(c1ccccc1)c1ccc(Br)cc1.NC(c1ccccc1)(c1ccccc1)c1ccccc1.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],O=C(c1ccccc1)c1ccc(NC(c2ccccc2)(c2ccccc2)c2ccccc2)cc1
Clc1ccc(N2CCOCC2)cc1.NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3.CN(C)c1cccc(N(C)C)c1-c1ccccc1[P+]([Pd])(c1ccccc1)c1ccccc1.CC(C)(C)[O-].[Na+],c1cc(N2CCOCC2)ccc1NC12C[C@H]3C[C@@H](C1)C[C@@H](C2)C3
Cc1ccc(Cl)cc1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(NCc2ccccc2)cc1
Cc1ccc(C)c(Cl)c1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(C)c(NCc2ccccc2)c1
N#Cc1ccc(Cl)cc1.CCCCCCN.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CCCCCCNc1ccc(C#N)cc1
N#Cc1ccc(Cl)cc1.Cc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(Nc2ccc(C#N)cc2)cc1
COc1ccccc1Cl.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1NCc1ccccc1
COc1cccc(Cl)c1.CCC(C)N.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CCC(C)Nc1cccc(OC)c1
Cc1ccc(Cl)cc1.CCCCCCN.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CCCCCCNc1ccc(C)cc1
Cc1ccc(Cl)cc1.Cc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(Nc2ccc(C)cc2)cc1
Cc1ccc(Cl)cc1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(NCc2ccccc2)cc1
Cc1ccc(C)c(Cl)c1.NC1CCCCC1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(C)c(NC2CCCCC2)c1
Cc1ccc(C)c(Cl)c1.COc1ccccc1N.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1Nc1cc(C)ccc1C
Cc1ccc(C)c(Cl)c1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1ccc(C)c(NCc2ccccc2)c1
Cc1ccc(C)c(Cl)c1.CCOC(CN)OCC.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CCOC(CNc1cc(C)ccc1C)OCC
COc1ccc(Cl)cc1.NCCN1CCOCC1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(NCCN2CCOCC2)cc1
COc1ccc(Cl)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccc(Nc2ccc(OC)cc2)cc1
COc1ccccc1Cl.NN=C(c1ccccc1)c1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1NN=C(c1ccccc1)c1ccccc1
COc1ccccc1Cl.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1NCc1ccccc1
COc1cc(Cl)cc(OC)c1.Cc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1cc(Nc2ccc(C)cc2)cc(OC)c1
Cc1cccc(C)c1Cl.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1cccc(C)c1NCc1ccccc1
Cc1cccc(C)c1Cl.CC(C)c1cccc(C(C)C)c1N.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],Cc1cccc(C)c1Nc1c(C(C)C)cccc1C(C)C
Cc1ccc(C)c(Cl)c1.COc1ccccc1N.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],COc1ccccc1Nc1cc(C)ccc1C
Clc1ccccn1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],c1ccc(CNc2ccccn2)cc1
Clc1cccnc1.NCc1ccccc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],c1ccc(CNc2cccnc2)cc1
Clc1cccnc1.CCCCCCN.CN(C)c1ccccc1-c1ccccc1[P+]([Pd])(C1CCCCC1)C1CCCCC1.CC(C)(C)[O-].[Na+],CCCCCCNc1cccnc1
Clc1ccncc1.NCc1ccccc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.CC(C)(C)[O-].[Na+],c1ccc(CNc2ccncc2)cc1
N#Cc1cccc(Cl)c1.NCc1ccccc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],N#Cc1cccc(NCc2ccccc2)c1
O=[N+]([O-])c1ccc(Cl)cc1.COc1ccc(N)cc1.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.O=P([O-])([O-])[O-].[K+].[K+].[K+],COc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1
CC(=O)c1cccc(Cl)c1.Nc1ccccc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)c1cccc(Nc2ccccc2)c1
CC(=O)c1cccc(Cl)c1.Nc1ccccc1.CN(C)c1ccccc1-c1ccccc1[P+]([Pd])(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)c1cccc(Nc2ccccc2)c1
CC(=O)c1ccc(Cl)cc1.Cc1ccc(N)cc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],CC(=O)c1ccc(Nc2ccc(C)cc2)cc1
COC(=O)c1ccc(Cl)cc1.Nc1ccc([N+](=O)[O-])cc1.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],COC(=O)c1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1
N#Cc1ccc(Cl)cc1.CCCCCCN.CC(C)(C)[P+]([Pd])(c1ccccc1-c1ccccc1)C(C)(C)C.CC(C)(C)[O-].[Na+],CCCCCCNc1ccc(C#N)cc1
N#Cc1ccc(Cl)cc1.CCOC(=O)c1ccccc1N.[Pd][P+](c1ccccc1-c1ccccc1)(C1CCCCC1)C1CCCCC1.O=P([O-])([O-])[O-].[K+].[K+].[K+],CCOC(=O)c1ccccc1Nc1ccc(C#N)cc1
